Id,Пол,ФИО,Дата окончания обучения,Группа,Специальность,Работает по специальности
912,мужской,Николай Максимович Тугимов,6.5.2000,62,"Электроника, радиотехника и системы связи",False
913,мужской,Олег Леонидович Киршенков,21.4.2006,58,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
914,мужской,Борис Иванович Дряблов,24.8.2003,62,Дизайн (по отраслям),True
915,мужской,Эдуард Николаевич Лучевников,26.1.2001,67,Дизайн (по отраслям),False
916,мужской,Виктор Юриевич Синютин,5.5.2000,57,Юриспруденция,False
917,женский,Карина Михайловна Гыренкова,11.9.2004,64,Электронные приборы и устройства,False
918,мужской,Анатолий Петрович Ирочкин,22.8.2006,54,Дизайн (по отраслям),True
919,мужской,Руслан Олегович Кислянцев,4.2.2001,52,"Электроника, радиотехника и системы связи",False
920,мужской,Олег Павлович Годякин,28.8.2002,62,Техника и технологии наземного транспорта,True
921,мужской,Иван Алексеевич Бурдов,8.1.2005,65,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
922,мужской,Денис Иванович Салосин,4.12.2004,70,Техника и технологии наземного транспорта,False
923,женский,Клавдия Олеговна Волкина,26.7.2000,53,Изобразительные и прикладные виды искусств,False
924,мужской,Пётр Вадимович Толоков,10.6.2005,69,Технологии материалов,True
925,мужской,Юрий Денисович Делиев,21.3.2002,60,Теплоснабжение и теплотехническое оборудование,False
926,мужской,Владимир Юриевич Шурукин,17.8.2005,66,Юриспруденция,True
927,мужской,Иван Петрович Шершкин,29.6.2002,64,Сетевое и системное администрирование,False
928,мужской,Олег Романович Имакин,13.10.2000,54,"Электроника, радиотехника и системы связи",True
929,женский,Лариса Валерьевна Братанова,29.4.2003,51,Дизайн (по отраслям),True
930,мужской,Яков Вадимович Пиленицын,27.11.2005,61,Сервис и туризм,False
931,мужской,Владимир Алексеевич Рейнов,19.12.2005,69,Информатика и вычислительная техника,False
932,мужской,Никита Яковлевич Бемидинов,1.11.2000,67,Электро- и теплоэнергетика,False
933,мужской,Андрей Данилович Бердеев,5.6.2005,53,Информационные системы и программирование,False
934,мужской,Никита Адамович Саминский,29.6.2000,51,Право и организация социального обеспечения,False
935,мужской,Максим Максимович Жегусов,26.1.2002,70,"Электроника, радиотехника и системы связи",False
936,мужской,Павел Вадимович Губенский,12.9.2001,56,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
937,мужской,Станислав Данилович Подкурков,30.2.2005,69,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
938,мужской,Павел Вадимович Купрюхин,14.1.2004,70,Юриспруденция,False
939,женский,Валентина Петровна Гудочкова,12.3.2006,51,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
940,женский,Анна Яковлевна Мишкова,23.9.2002,55,История и археология,True
941,женский,Елизавета Петровна Густякова,4.4.2000,68,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
942,мужской,Дмитрий Антонович Халаев,19.8.2004,51,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
943,женский,Дарья Федоровна Илалова,13.8.2003,69,Изобразительные и прикладные виды искусств,True
944,мужской,Ярослав Игоревич Цурбанов,24.7.2003,69,Сервис и туризм,True
945,женский,Кристина Алексеевна Архипеева,10.3.2006,55,Сетевое и системное администрирование,False
946,женский,Юлия Николаевна Амодинова,21.11.2002,61,Теплоснабжение и теплотехническое оборудование,False
947,мужской,Федор Леонидович Хованских,14.4.2004,62,Технология парикмахерского искусства,False
948,мужской,Виктор Игоревич Полешнин,9.10.2005,54,Юриспруденция,False
949,женский,Кира Эдуардовна Колобихина,20.12.2004,53,"Электроника, радиотехника и системы связи",False
950,мужской,Александр Леонидович Катов,18.6.2006,61,Организация перевозок и управление на транспорте (по видам),False
951,мужской,Станислав Иванович Сизов,11.6.2002,62,Юриспруденция,True
952,женский,Ольга Михайловна Чиранова,17.3.2000,60,Дизайн (по отраслям),False
953,мужской,Станислав Фёдорович Чеданов,9.12.2002,53,Сварочное производство,True
954,мужской,Антон Павлович Жульнев,27.5.2003,69,Информационные системы и программирование,False
955,мужской,Анатолий Антонович Филинский,12.5.2004,52,"Электроника, радиотехника и системы связи",True
956,мужской,Вячеслав Вадимович Наволоков,14.6.2006,66,Техническое обслуживание и ремонт автомобильного транспорта,True
957,мужской,Семён Иванович Гричманов,9.3.2002,54,Сервис и туризм,True
958,мужской,Герасим Алексеевич Белогяров,15.6.2002,55,"Электроника, радиотехника и системы связи",True
959,мужской,Ярослав Евгеньевич Софиев,4.7.2000,66,Теплоснабжение и теплотехническое оборудование,False
960,мужской,Валентин Леонидович Аниськин,5.5.2004,66,Изобразительные и прикладные виды искусств,True
961,мужской,Никита Денисович Погоницкий,6.5.2003,60,Теплоснабжение и теплотехническое оборудование,True
962,женский,Елизавета Олеговна Эрнестова,23.12.2005,66,Сервис и туризм,False
963,мужской,Артём Фёдорович Антицев,20.7.2006,60,Дизайн (по отраслям),True
964,женский,Алина Ивановна Мозгляева,28.12.2004,56,Технология парикмахерского искусства,True
965,мужской,Федор Евгеньевич Саруханов,13.12.2003,64,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
966,женский,Мария Сергеевна Артюнина,16.8.2000,55,Информационные системы и программирование,True
967,женский,Раиса Богдановна Хватовская,6.11.2006,67,Документационное обеспечение управления и архивоведение,False
968,мужской,Илья Данилович Голубенков,9.5.2004,55,Технология парикмахерского искусства,False
969,мужской,Артур Виталиевич Добосин,14.5.2003,56,Дизайн (по отраслям),False
970,женский,Галина Игоревна Кичина,25.11.2002,52,Юриспруденция,False
971,мужской,Роман Игоревич Безруких,23.2.2004,62,Технология парикмахерского искусства,True
972,женский,Валентина Андреевна Ларечкина,24.7.2006,50,Документационное обеспечение управления и архивоведение,False
973,мужской,Валентин Иванович Полугаров,16.5.2002,51,Теплоснабжение и теплотехническое оборудование,False
974,женский,Наталья Ивановна Почкина,13.2.2003,57,Прикладная информатика (по отраслям),False
975,женский,Яна Алексеевна Мазникова,11.9.2001,59,Дизайн (по отраслям),True
976,мужской,Михаил Игоревич Халухин,7.3.2004,66,Техника и технологии наземного транспорта,False
977,мужской,Константин Петрович Чичварихин,16.9.2004,54,Изобразительные и прикладные виды искусств,False
978,мужской,Вячеслав Николаевич Малфыгин,7.3.2004,56,Техническое обслуживание и ремонт автомобильного транспорта,True
979,женский,Вера Петровна Моношенова,9.5.2004,54,Информационные системы и программирование,False
980,мужской,Виталий Романович Рысаков,7.1.2005,50,Дизайн (по отраслям),True
981,мужской,Григорий Сергеевич Ельцов,25.11.2000,62,Информационные системы и программирование,False
982,мужской,Николай Петрович Легезин,25.6.2006,61,Сварочное производство,False
983,женский,Инна Вадимовна Лабазнова,1.1.2001,50,Право и организация социального обеспечения,False
984,женский,Вероника Егоровна Пегасина,19.11.2006,53,Техническое обслуживание и ремонт автомобильного транспорта,False
985,женский,Лиза Петровна Урасова,1.4.2005,65,Документационное обеспечение управления и архивоведение,False
986,женский,Наталья Борисовна Сицкая,16.12.2000,67,Прикладная информатика (по отраслям),False
987,мужской,Анатолий Денисович Халезов,22.4.2000,62,Сетевое и системное администрирование,True
988,мужской,Леонид Борисович Сибурин,20.10.2002,57,Информатика и вычислительная техника,False
989,женский,Ирина Игоревна Можокина,11.9.2001,59,Организация перевозок и управление на транспорте (по видам),False
990,мужской,Денис Романович Окунчиков,23.12.2003,68,Изобразительные и прикладные виды искусств,True
991,женский,Юлия Вадимовна Бакишеева,29.10.2001,53,История и археология,False
992,мужской,Игорь Алексиевич Логин,26.2.2006,60,Техника и технологии наземного транспорта,True
993,женский,Зинаида Борисовна Польянова,20.12.2005,61,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",True
994,мужской,Владимир Аркадиевич Лубямский,13.11.2002,69,Теплоснабжение и теплотехническое оборудование,False
995,мужской,Семён Алексеевич Гонченков,13.1.2005,61,Техническое обслуживание и ремонт автомобильного транспорта,True
996,мужской,Виталий Андреевич Дорошин,15.12.2003,55,Технология парикмахерского искусства,False
997,женский,Анастасия Богдановна Шишменцова,25.3.2004,56,Организация перевозок и управление на транспорте (по видам),False
998,мужской,Максим Михаилович Домнин,10.10.2002,70,Сварочное производство,False
999,мужской,Руслан Валериевич Тарарев,29.12.2000,56,Информатика и вычислительная техника,False
1000,женский,Алиса Егоровна Ошбенина,12.10.2000,52,Документационное обеспечение управления и архивоведение,True
1001,женский,Полина Николаевна Зелигова,3.1.2000,61,Технология парикмахерского искусства,True
1002,мужской,Эдуард Павлович Дютинов,16.11.2006,66,Сетевое и системное администрирование,False
1003,мужской,Анатолий Николаевич Тусов,3.5.2000,60,История и археология,True
1004,мужской,Вадим Валериевич Суконкин,18.6.2004,56,Информатика и вычислительная техника,True
1005,мужской,Евгений Евгеньевич Сипинский,25.3.2004,66,"Электроника, радиотехника и системы связи",False
1006,женский,Галина Федоровна Чащинова,21.3.2002,67,Сетевое и системное администрирование,False
1007,женский,София Алексеевна Толщихина,2.5.2001,51,Организация перевозок и управление на транспорте (по видам),True
1008,женский,София Кирилловна Бударашина,15.3.2002,52,Теплоснабжение и теплотехническое оборудование,False
1009,мужской,Валерий Сергеевич Серехин,23.11.2005,54,Информационные системы и программирование,False
1010,мужской,Роман Романович Галискаров,4.8.2004,69,Информационные системы и программирование,False
1011,женский,Оксана Богдановна Доржиева,4.7.2002,63,Право и организация социального обеспечения,True
1012,женский,Лариса Викторовна Балантина,21.12.2003,59,Теплоснабжение и теплотехническое оборудование,False
1013,мужской,Тарас Игоревич Рогезенков,30.10.2002,59,Дизайн (по отраслям),False
1014,мужской,Владимир Валериевич Софиуллин,6.10.2004,51,Организация перевозок и управление на транспорте (по видам),False
1015,мужской,Валерий Викторович Кунецкий,28.5.2000,52,Теплоснабжение и теплотехническое оборудование,False
1016,женский,Яна Василевна Бармачева,15.11.2001,56,Электронные приборы и устройства,False
1017,мужской,Кирилл Романович Азматов,26.7.2006,56,Прикладная информатика (по отраслям),False
1018,мужской,Алексей Алексеевич Брешенков,19.9.2000,58,Сварочное производство,False
1019,женский,Анна Игоревна Шкуридова,4.10.2002,66,Документационное обеспечение управления и архивоведение,False
1020,женский,Людмила Михайловна Паганина,2.11.2003,65,Техника и технологии наземного транспорта,False
1021,мужской,Вадим Борисович Оксин,14.10.2004,60,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
1022,мужской,Андрей Василиевич Бурецкий,26.11.2005,59,Сервис и туризм,False
1023,мужской,Борис Романович Плинков,8.4.2004,58,История и археология,True
1024,мужской,Денис Петрович Борсаков,20.2.2005,65,Техническое обслуживание и ремонт автомобильного транспорта,True
1025,мужской,Аркадий Алексеевич Сыроженков,11.3.2004,65,Информатика и вычислительная техника,False
1026,мужской,Алексей Павлович Халаманов,20.3.2000,61,Электронные приборы и устройства,True
1027,женский,Клавдия Эдуардовна Боровнева,10.1.2002,57,Техническое обслуживание и ремонт автомобильного транспорта,False
1028,женский,Ирина Николаевна Струкова,27.8.2001,64,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
1029,мужской,Владислав Аркадиевич Пиголеев,20.9.2002,62,Электронные приборы и устройства,False
1030,мужской,Иван Сергеевич Закрянин,7.2.2001,62,Изобразительные и прикладные виды искусств,False
1031,женский,Евгения Игоревна Репетина,12.11.2002,60,Техническое обслуживание и ремонт автомобильного транспорта,False
1032,женский,Кристина Романовна Бошкова,14.8.2006,70,Прикладная информатика (по отраслям),True
1033,мужской,Никита Антонович Федонькин,5.9.2002,55,Техническое обслуживание и ремонт автомобильного транспорта,False
1034,женский,Юлия Ивановна Турких,18.2.2004,51,Технологии материалов,True
1035,мужской,Леонид Сергеевич Лысенин,5.12.2000,65,Изобразительные и прикладные виды искусств,True
1036,женский,Наталья Дмитриевна Кулишина,12.10.2006,51,Сварочное производство,True
1037,мужской,Владимир Романович Аброськин,17.1.2004,70,Юриспруденция,False
1038,мужской,Геннадий Аркадиевич Бедеев,26.6.2003,50,Юриспруденция,False
1039,мужской,Степан Олегович Збровский,11.10.2006,68,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
1040,женский,Алина Дмитриевна Поконина,4.1.2005,53,Изобразительные и прикладные виды искусств,False
1041,мужской,Михаил Юриевич Годунин,4.12.2004,54,Право и организация социального обеспечения,False
1042,женский,Инна Леонидовна Арешева,28.1.2000,68,Информационные системы и программирование,False
1043,мужской,Игорь Леонидович Дрыжов,3.4.2000,64,Организация перевозок и управление на транспорте (по видам),False
1044,женский,Кристина Алексеевна Легецкая,22.6.2006,62,Документационное обеспечение управления и архивоведение,False
1045,мужской,Антон Андреевич Скрипелев,13.4.2000,54,История и археология,False
1046,женский,Вероника Сергеевна Осичева,2.11.2004,58,Организация перевозок и управление на транспорте (по видам),False
1047,мужской,Герасим Виталиевич Гагиев,4.4.2003,52,Сервис и туризм,False
1048,мужской,Олег Максимович Тюрнев,7.12.2000,63,Электро- и теплоэнергетика,True
1049,мужской,Денис Василиевич Рейтих,29.7.2002,55,Сервис и туризм,False
1050,мужской,Павел Данилович Кирамов,20.10.2000,53,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
1051,мужской,Владимир Леонидович Каюмов,20.3.2002,50,Сетевое и системное администрирование,False
1052,женский,Ксения Дмитриевна Двоева,21.3.2002,66,Техника и технологии наземного транспорта,False
1053,женский,Инна Олеговна Татакова,24.11.2002,59,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
1054,мужской,Александр Георгиевич Каррыев,22.6.2002,61,Сервис и туризм,True
1055,мужской,Игорь Алексеевич Тешебаев,14.10.2001,70,"Электроника, радиотехника и системы связи",False
1056,мужской,Анатолий Георгиевич Петлявский,15.7.2005,56,Организация перевозок и управление на транспорте (по видам),False
1057,женский,Ольга Ивановна Кречникова,27.6.2006,60,Технологии материалов,True
1058,мужской,Алексей Тимофеевич Гурешов,18.8.2006,67,Сварочное производство,True
1059,мужской,Алексей Максимович Турутаев,6.3.2001,67,История и археология,True
1060,женский,Анна Эдуардовна Лутхова,3.12.2004,64,Техника и технологии наземного транспорта,True
1061,мужской,Денис Петрович Топычкалов,19.7.2000,50,Технологии материалов,False
1062,женский,Елизавета Ивановна Мскворцова,8.1.2005,59,Организация перевозок и управление на транспорте (по видам),False
1063,мужской,Олег Михаилович Хусенов,11.3.2003,59,Технологии материалов,False
1064,мужской,Ярослав Викторович Осянов,1.2.2006,61,Сетевое и системное администрирование,False
1065,мужской,Анатолий Николаевич Лодыгин,5.9.2003,59,Сварочное производство,False
1066,мужской,Альберт Данилович Нуранов,2.2.2004,56,Техника и технологии наземного транспорта,False
1067,мужской,Кирилл Олегович Амутдинов,16.4.2000,56,"Электроника, радиотехника и системы связи",False
1068,мужской,Федор Павлович Зулуматов,16.6.2003,62,Информационные системы и программирование,False
1069,женский,Клавдия Никитична Ативанова,14.4.2005,63,Право и организация социального обеспечения,False
1070,мужской,Валентин Яковлевич Биклинев,29.7.2000,56,Юриспруденция,False
1071,мужской,Василий Виталиевич Стрекалкин,11.11.2005,56,Теплоснабжение и теплотехническое оборудование,False
1072,женский,Карина Василевна Синтюрина,2.6.2005,67,Дизайн (по отраслям),True
1073,мужской,Геннадий Петрович Трушанов,22.11.2004,61,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
1074,женский,Александра Яковлевна Зазовская,21.10.2003,58,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
1075,женский,Ольга Андреевна Верскаина,19.11.2004,50,Право и организация социального обеспечения,False
1076,мужской,Никита Евгеньевич Неклюков,22.4.2003,55,"Электроника, радиотехника и системы связи",False
1077,мужской,Денис Алексиевич Эшинский,2.6.2000,61,Сервис и туризм,True
1078,мужской,Денис Олегович Хидов,10.6.2006,62,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
1079,мужской,Роман Игоревич Стронгин,10.11.2001,61,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),True
1080,женский,Клавдия Егоровна Алипкина,15.2.2005,63,Изобразительные и прикладные виды искусств,True
1081,мужской,Валентин Яковлевич Вилявин,29.6.2004,57,Сервис и туризм,True
1082,мужской,Аркадий Валериевич Нусин,18.8.2006,60,Информатика и вычислительная техника,True
1083,мужской,Роман Николаевич Лысаков,25.12.2006,50,Техническое обслуживание и ремонт автомобильного транспорта,False
1084,женский,Елена Леонидовна Капустина,8.4.2000,67,Изобразительные и прикладные виды искусств,False
1085,мужской,Евгений Петрович Брыскин,9.12.2005,62,Техническое обслуживание и ремонт автомобильного транспорта,False
1086,женский,Зинаида Федоровна Штабкина,20.10.2002,64,Документационное обеспечение управления и архивоведение,True
1087,мужской,Герасим Борисович Вилочкин,17.12.2000,54,Прикладная информатика (по отраслям),False
1088,женский,Надежда Валерьевна Верцанова,28.4.2002,56,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
1089,мужской,Валентин Валериевич Бриков,16.5.2006,59,Прикладная информатика (по отраслям),False
1090,мужской,Станислав Фёдорович Рупин,9.5.2000,69,Дизайн (по отраслям),False
1091,мужской,Артём Василиевич Сарнавский,16.11.2005,68,Сетевое и системное администрирование,False
1092,мужской,Юрий Олегович Потудин,12.11.2000,52,Юриспруденция,False
1093,мужской,Дмитрий Виталиевич Кошиков,6.11.2000,54,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
1094,мужской,Антон Яковлевич Жромов,9.6.2006,51,Документационное обеспечение управления и архивоведение,False
1095,женский,Наталья Никитична Гуйганова,18.5.2002,57,Изобразительные и прикладные виды искусств,True
1096,женский,Оксана Евгеньевна Дудинская,6.11.2001,64,Электронные приборы и устройства,False
1097,мужской,Денис Романович Кулебанов,8.3.2004,63,Техника и технологии наземного транспорта,True
1098,мужской,Игорь Павлович Гавренков,10.4.2000,65,Организация перевозок и управление на транспорте (по видам),False
1099,женский,Тамара Яковлевна Распиртова,21.1.2002,61,Изобразительные и прикладные виды искусств,True
1100,мужской,Станислав Николаевич Сутолкин,9.7.2001,62,Документационное обеспечение управления и архивоведение,False
1101,мужской,Иван Фёдорович Полутов,19.10.2002,51,Право и организация социального обеспечения,False
1102,женский,Вероника Михайловна Шелястина,1.10.2005,63,Информационные системы и программирование,True
1103,мужской,Виталий Юрьевич Кабанинхин,17.8.2004,61,Технология парикмахерского искусства,False
1104,женский,Елена Олеговна Кирдеева,12.5.2002,56,Дизайн (по отраслям),True
1105,женский,Валерия Василевна Жалдыбина,16.9.2002,65,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
1106,женский,Анна Яковлевна Цыпорина,1.5.2000,67,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
1107,мужской,Руслан Юриевич Кирдяшов,1.7.2006,54,Сварочное производство,False
1108,мужской,Павел Виталиевич Валиюллаев,28.10.2005,60,Технологии материалов,False
1109,мужской,Евгений Викторович Нащанский,19.8.2001,56,Техника и технологии наземного транспорта,False
1110,мужской,Кирилл Вадимович Коробушин,30.3.2000,62,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
1111,женский,Раиса Яковлевна Залузова,17.10.2003,61,Технологии материалов,False
1112,мужской,Ярослав Алексеевич Сафонцев,17.12.2002,55,Техническое обслуживание и ремонт автомобильного транспорта,False
1113,мужской,Аркадий Денисович Домиников,22.4.2001,51,Электронные приборы и устройства,True
1114,мужской,Кирилл Евгеньевич Макаренкин,30.11.2003,59,Информационные системы и программирование,False
1115,мужской,Леонид Николаевич Шиламонов,8.4.2002,53,Техника и технологии наземного транспорта,False
1116,мужской,Дмитрий Леонидович Пагнаев,16.2.2003,62,Электро- и теплоэнергетика,False
1117,мужской,Аркадий Георгиевич Ковынцев,3.12.2000,67,Сварочное производство,True
1118,женский,Валентина Борисовна Штокалова,8.7.2004,59,Технологии материалов,False
1119,мужской,Антон Павлович Зелеев,28.12.2002,59,Дизайн (по отраслям),False
1120,женский,Софья Дмитриевна Быличкина,11.2.2006,61,Сервис и туризм,False
1121,мужской,Артём Андреевич Выскребов,6.10.2000,64,Юриспруденция,False
1122,женский,Вера Эдуардовна Дрызгина,17.4.2001,62,Сварочное производство,True
1123,мужской,Пётр Фёдорович Орусбиев,18.10.2003,59,Документационное обеспечение управления и архивоведение,True
1124,мужской,Олег Борисович Герасенков,5.1.2001,56,Сварочное производство,True
1125,мужской,Альберт Павлович Ханнанов,28.11.2000,67,Право и организация социального обеспечения,False
1126,мужской,Семён Вадимович Метелицын,1.11.2001,52,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
1127,женский,Светлана Романовна Дрождина,2.2.2001,59,Сервис и туризм,False
1128,женский,Полина Аркадьевна Дзитиева,6.6.2003,61,Электронные приборы и устройства,False
1129,женский,Марина Яковлевна Калинева,11.6.2006,54,Сварочное производство,False
1130,мужской,Тарас Сергеевич Шоршоров,20.9.2005,63,Электронные приборы и устройства,False
1131,мужской,Артём Денисович Базильский,18.7.2002,68,Сварочное производство,False
1132,мужской,Леонид Михаилович Тамразов,17.4.2004,68,"Электроника, радиотехника и системы связи",False
1133,мужской,Вадим Фёдорович Шуршалин,3.10.2006,52,Технологии материалов,False
1134,мужской,Леонид Фёдорович Кудреванов,3.4.2000,61,Изобразительные и прикладные виды искусств,True
1135,мужской,Андрей Виталиевич Бинков,14.7.2000,54,"Электроника, радиотехника и системы связи",False
1136,женский,Валентина Сергеевна Зелетина,11.10.2000,55,Сварочное производство,False
1137,мужской,Денис Антонович Бырихин,5.8.2000,64,Прикладная информатика (по отраслям),False
1138,мужской,Геннадий Валериевич Гандлин,11.3.2003,69,Электронные приборы и устройства,True
1139,мужской,Владислав Тимофеевич Хачиков,27.11.2004,65,Сварочное производство,True
1140,мужской,Григорий Максимович Гладнев,24.1.2005,59,История и археология,False
1141,мужской,Юрий Валериевич Шеврыгин,15.7.2003,55,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
1142,мужской,Герасим Сергеевич Соковрилов,15.8.2003,67,Сетевое и системное администрирование,False
1143,женский,Евгения Евгеньевна Назыкова,7.12.2001,60,Электронные приборы и устройства,True
1144,женский,Алиса Егоровна Налибаева,22.1.2005,53,Информатика и вычислительная техника,False
1145,женский,Кристина Аркадьевна Карабкина,14.3.2002,50,Сварочное производство,False
1146,женский,София Валерьевна Покасова,20.7.2001,69,Электронные приборы и устройства,True
1147,женский,Марина Игоревна Вайкова,24.3.2006,57,Электронные приборы и устройства,False
1148,мужской,Ярослав Иванович Сунозов,28.12.2001,54,Документационное обеспечение управления и архивоведение,False
1149,мужской,Федор Леонидович Шимаенков,28.4.2000,65,Технология парикмахерского искусства,False
1150,женский,Катерина Федоровна Селеменева,14.3.2004,57,Теплоснабжение и теплотехническое оборудование,False
1151,мужской,Юрий Антонович Дубовников,12.6.2005,67,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),False
1152,женский,София Валерьевна Сесявина,27.1.2006,53,Сервис и туризм,False
1153,мужской,Николай Леонидович Пукемов,26.11.2005,50,"Электроника, радиотехника и системы связи",False
1154,мужской,Игорь Яковлевич Старыгин,11.2.2000,58,Электронные приборы и устройства,True
1155,мужской,Леонид Алексеевич Юнашев,12.12.2005,51,Электро- и теплоэнергетика,False
1156,мужской,Денис Василиевич Пилькин,24.5.2006,60,Изобразительные и прикладные виды искусств,False
1157,мужской,Тарас Алексиевич Терешонков,5.6.2002,66,Сервис и туризм,True
1158,мужской,Роман Борисович Жеманов,12.5.2001,63,Электро- и теплоэнергетика,True
1159,мужской,Василий Павлович Пыхонин,6.9.2003,67,Технологии материалов,False
1160,мужской,Федор Василиевич Панюшин,12.9.2000,57,Технологии материалов,True
1161,мужской,Алексей Павлович Данщиков,15.11.2002,58,Техническое обслуживание и ремонт автомобильного транспорта,False
1162,мужской,Никита Игоревич Щипунин,17.2.2002,58,Технология парикмахерского искусства,True
1163,мужской,Семён Петрович Супов,5.2.2006,69,Техника и технологии наземного транспорта,True
1164,женский,Карина Максимовна Нюхаева,15.12.2001,54,"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей",False
1165,мужской,Николай Евгеньевич Извольский,10.9.2004,65,Документационное обеспечение управления и архивоведение,True
1166,мужской,Герасим Тимофеевич Косиченков,14.6.2005,54,Сварочное производство,False
1167,мужской,Федор Игоревич Пятикопов,23.2.2004,59,Сварочное производство,True
1168,мужской,Евгений Юрьевич Фаряхов,24.5.2000,51,Прикладная информатика (по отраслям),True
1169,женский,Алёна Максимовна Кабанихина,12.11.2000,55,Электронные приборы и устройства,False
1170,женский,Алена Романовна Натакова,5.3.2002,57,Документационное обеспечение управления и архивоведение,False
1171,мужской,Василий Яковлевич Ажевский,21.3.2002,62,Теплоснабжение и теплотехническое оборудование,False
1172,женский,Людмила Андреевна Аранова,1.7.2005,65,Теплоснабжение и теплотехническое оборудование,True
1173,женский,Екатерина Валерьевна Дрозова,10.3.2001,67,История и археология,True
1174,женский,Клара Петровна Дундукина,15.3.2003,63,Технологии материалов,False
1175,мужской,Валерий Аркадиевич Шимиков,1.7.2004,67,Сервис и туризм,False
1176,мужской,Игорь Антонович Гарчев,12.8.2000,65,Сварочное производство,True
1177,женский,Тамара Василевна Судилкина,13.7.2003,55,Техника и технологии наземного транспорта,False
1178,мужской,Илья Яковлевич Хуртин,6.11.2006,55,Документационное обеспечение управления и архивоведение,False
1179,мужской,Антон Павлович Гучов,27.8.2000,66,Юриспруденция,False
1180,мужской,Александр Юрьевич Давлятшин,17.11.2001,50,Электронные приборы и устройства,False
1181,мужской,Никита Юрьевич Штамбуров,14.3.2001,57,История и археология,True
1182,мужской,Виктор Адамович Польсков,1.9.2003,54,Информатика и вычислительная техника,False
1183,мужской,Валерий Петрович Каячев,13.8.2000,59,Технология парикмахерского искусства,True
